118,611,-69
275,505,-81
352,417,-124
365,372,-133
379,347,-130
384,305,-173
402,266,-235
426,224,-303
424,190,-381
399,179,-423
368,152,-466
354,145,-497
291,86,-547
230,68,-589
190,57,-610
116,59,-636
46,75,-658
-46,97,-672
-102,91,-657
-183,115,-641
-222,133,-603
-260,142,-594
-311,167,-546
-316,172,-523
-352,176,-471
-382,203,-438
-374,212,-402
-379,217,-383
-386,239,-355
-388,248,-329
-402,255,-315
-395,251,-294
-375,246,-279
-382,264,-258
-379,271,-240
-375,249,-261
-370,244,-246
-366,219,-270
-366,219,-301
-370,201,-318
-368,170,-365
-368,156,-410
-343,156,-462
-305,147,-495
-285,149,-559
-253,145,-587
-228,131,-629
-178,152,-653
-149,167,-691
-91,192,-712
-57,226,-714
3,258,-728
43,273,-728
122,348,-717
167,357,-702
217,400,-674
219,449,-651
242,458,-650
255,503,-610
244,521,-606
228,541,-598
217,569,-570
192,602,-577
165,622,-558
134,602,-577
115,611,-561
89,636,-572
66,620,-573
57,622,-575
50,600,-592
68,600,-620
59,598,-608
57,593,-610
86,568,-610
118,568,-620
145,530,-629
194,496,-624
213,480,-629
271,426,-611
307,372,-580
323,316,-575
345,291,-568
341,244,-554
311,195,-566
320,179,-561
316,165,-551
318,199,-542
330,187,-558
320,190,-565
330,219,-554
339,249,-570
343,253,-570
359,284,-568
359,334,-547
370,413,-506
359,456,-492
375,505,-428
366,543,-402
365,577,-355
339,591,-358
343,595,-331
330,629,-291
325,613,-261
354,552,-220
399,453,-190
384,381,-124
379,350,-112
341,327,-86
347,311,-91
329,293,-84
318,228,-98
305,219,-97
293,178,-102
278,131,-123
271,109,-140
258,107,-145
271,98,-143
273,93,-183
289,84,-178
303,95,-185
309,115,-197
325,134,-168
312,143,-169
323,187,-145
312,190,-145
311,199,-126
312,208,-138
294,222,-121
294,251,-124
316,269,-104
300,264,-102
309,280,-117
327,309,-114
325,314,-123
332,296,-112
314,224,-147
325,192,-168
298,122,-187
262,50,-211
187,-3,-232
98,-59,-258
-64,-75,-270
-109,-70,-289
-172,-39,-284
-242,-1,-282
-231,-5,-289
-221,-8,-338
-212,-35,-367
-212,-21,-367
-231,-23,-372
-224,-12,-397
-237,3,-426
-246,-1,-438
-280,39,-457
-287,28,-481
-282,55,-497
-278,55,-525
-296,98,-521
-312,125,-530
-327,161,-533
-309,169,-568
-298,165,-582
-275,170,-601
-273,197,-610
-276,280,-637
-282,372,-625
-280,496,-579
-244,625,-478
-187,704,-398
-136,712,-391
-116,742,-386
-102,735,-365
-70,764,-379
-19,742,-393
35,744,-402
100,744,-409
118,733,-412
142,721,-414
187,704,-381
181,721,-376
179,744,-367
228,699,-410
258,661,-440
284,632,-468
282,602,-483
296,613,-487
298,561,-502
332,490,-563
318,472,-580
314,487,-577
314,487,-570
320,420,-599
329,386,-591
332,354,-591
334,345,-582
352,330,-579
354,289,-563
341,262,-585
334,230,-558
336,217,-573
289,181,-591
264,170,-601
249,145,-622
230,107,-599
194,93,-617
120,26,-615
57,10,-603
-46,17,-610
-124,23,-577
-244,100,-547
-294,115,-509
-318,142,-494
-361,167,-449
-375,192,-421
-382,231,-376
-381,244,-339
-386,257,-292
-388,251,-273
-365,217,-265
-354,195,-247
-343,185,-227
-318,142,-223
-318,127,-234
-298,104,-235
-309,89,-277
-249,8,-303
-206,-30,-338
-222,-21,-350
-195,-34,-383
-143,-50,-426
-48,-70,-476
21,-61,-506
-68,7,-585
-71,50,-624
-37,59,-653
0,93,-690
28,104,-686
35,115,-690
26,149,-684
88,149,-716
124,170,-691
203,206,-674
237,226,-655
285,260,-629
311,289,-629
318,296,-615
318,318,-605
347,343,-598
325,336,-605
316,284,-606
113,66,-653
3,14,-624
25,0,-634
88,19,-636
68,10,-620
21,-17,-589
-7,-71,-544
-68,-79,-502
-95,-77,-483
-115,-86,-468
-100,-97,-464
-129,-86,-447
-104,-107,-405
-93,-122,-388
-98,-116,-317
-113,-109,-265
-111,-71,-201
-147,-28,-169
-158,-3,-145
-194,57,-124
-188,80,-95
-222,147,-69
-213,199,-39
-204,251,-27
-195,242,-12
-210,188,-43
-203,145,-60
-152,106,-67
-122,100,-58
-111,89,-55
-89,82,-55
-84,66,-64
-50,28,-83
-1,26,-84
14,17,-107
39,21,-114
80,30,-112
140,68,-100
165,57,-107
161,64,-124
201,68,-121
201,82,-110
246,109,-164
291,93,-194
294,57,-239
311,80,-254
314,66,-282
320,64,-294
316,57,-353
307,41,-403
311,48,-438
249,34,-504
219,50,-547
185,52,-601
118,57,-637
89,89,-669
50,115,-679
26,145,-702
28,172,-717
-1,206,-709
-16,260,-722
-35,302,-728
-19,368,-733
16,436,-712
53,499,-679
62,544,-657
106,555,-639
147,614,-599
172,604,-582
228,616,-542
258,614,-520
293,609,-462
327,600,-454
352,543,-440
375,534,-445
408,490,-417
426,436,-431
429,404,-424
422,321,-421
435,291,-433
424,226,-388
426,192,-407
415,124,-358
393,95,-345
379,98,-324
370,82,-291
361,84,-272
366,104,-246
356,125,-214
374,129,-208
370,133,-208
354,138,-213
356,183,-197
354,188,-175
370,204,-183
379,239,-195
374,230,-197
370,240,-208
379,246,-199
382,260,-185
384,273,-208
393,271,-223
397,239,-254
402,176,-339
390,138,-376
361,98,-400
356,97,-409
338,93,-440
330,79,-454
332,98,-466
318,88,-504
278,84,-518
237,71,-551
190,53,-589
156,70,-618
147,71,-634
107,75,-627
106,109,-674
122,122,-658
104,143,-679
104,169,-690
97,154,-686
80,145,-695
84,124,-688
91,109,-681
70,116,-663
86,107,-686
98,95,-663
88,102,-663
41,95,-670
-71,125,-658
-125,129,-651
-151,151,-648
-174,185,-646
-194,204,-644
-239,257,-632
-260,303,-632
-269,381,-620
-275,440,-601
-249,516,-570
-224,541,-566
-204,586,-551
-167,623,-556
-134,641,-542
-88,659,-546
-50,650,-561
-10,658,-544
41,677,-542
80,652,-549
136,647,-527
178,638,-528
221,620,-511
217,598,-518
260,569,-518
285,562,-514
298,517,-506
327,496,-509
341,463,-520
343,462,-511
347,436,-525
347,418,-521
365,422,-507
327,445,-530
307,501,-532
258,539,-533
203,587,-549
129,600,-596
41,587,-629
-52,512,-660
-151,388,-679
-172,312,-690
